Row_Number,Time_Stamp,SockOwner1_Name,SockOwner1_Country,SockOwner1_Gender,SockOwner1_Age,SockOwner1_Smelliness,SockOwner2_Name,SockOwner2_Country,SockOwner2_Gender,SockOwner2_Age,SockOwner2_Smelliness
1,12:59:14,Riccardo Mussotti,Laos,F,13,0.43,Irvin Murtimer,Israel,M,37,0.8
2,13:04:59,Jud Acock,China,M,8,0.16,Abey Rosita,Portugal,M,14,0.19
3,1:18:37,Udale Christene,Bulgaria,M,9,0.26,Tann Olney,Russia,M,9,0.21
4,9:33:33,Dionysus Gooderidge,Ethiopia,M,60,0.93,Vassily Symper,Indonesia,M,64,0.39
5,18:25:37,Kalvin De Antoni,Honduras,M,78,0.61,Tito Twyford,Brazil,M,16,0.57
6,8:25:18,Marla Saddington,China,M,87,0.41,Geneva Dener,Comoros,F,49,0.45
7,5:36:22,Dede Taill,Democratic Republic of the Congo,M,62,0.55,Aubree Alessandone,Indonesia,F,39,0.33
8,21:50:20,Gizela Iorio,Philippines,F,49,0.4,Bessie Bulleyn,Yemen,F,60,0.45
9,11:51:08,Brig Drewery,Indonesia,M,90,0.67,Cullie Jentet,Portugal,M,73,0.42
10,14:16:38,Yale Van Giffen,Indonesia,F,48,0.77,Howey Milmoe,China,M,10,0.08
11,7:35:41,Saxe Fiske,China,M,15,0.83,Dallas Gulleford,United States,M,45,0.61
12,12:32:32,Scot Dobby,Sweden,M,90,0.41,Reagen Lavin,Indonesia,M,23,0.8
13,17:37:03,Ram Hallums,Indonesia,F,14,0.42,Bobbie Boomes,China,M,55,0.91
14,20:26:26,Merla Spacie,Poland,F,52,0.55,Emelia Harpur,Vietnam,F,58,0.32
15,0:44:50,Ross Sisson,China,F,83,0.85,Tull Cawood,China,M,18,0.74
16,14:20:33,Cece Gentry,China,M,63,0.5,Stanislaus Sealeaf,Tanzania,M,28,0.89
17,16:32:10,Bary Ayllett,South Korea,M,80,0.69,Casper Faulconbridge,China,M,25,0.9
18,0:43:26,Tobe Dungey,Philippines,F,14,0.46,Andy Malek,Israel,F,52,0.5
19,17:55:56,Archambault Overlow,Philippines,M,30,0.4,Alphonse Clearie,China,M,32,0.71
20,12:06:18,Godfrey Itschakov,Netherlands,F,80,0.33,Cirstoforo Barttrum,Portugal,M,95,0.62
21,13:14:01,Morissa Kilfeder,United States,M,75,0.93,Gennie Bridie,Thailand,F,78,0.93
22,20:15:30,Mala Goede,China,M,87,0.77,Maggee Wellen,China,F,60,0.88
23,1:28:54,Rosabelle Brosi,Colombia,M,38,0.34,Constantina Gatsby,Portugal,F,77,0.43
24,22:00:09,Thain Bengough,Indonesia,F,63,0.7,Karl Dennis,Iran,M,79,0.83
25,0:20:17,Seth Warboy,Dominican Republic,F,73,0.6,Elden Bowne,Czech Republic,M,6,0.19
26,18:19:31,Eugenia Dawidowitz,United States,M,13,0.07,Calla Willets,Canada,F,90,0.43
27,4:18:45,Evanne Tiffin,Canada,M,52,0.47,Margot Leifer,France,F,83,0.77
28,10:02:39,Bidget Sargent,China,F,1,0.1,Madelene Sweetnam,Indonesia,F,81,0.37
29,0:22:30,Franciska Wohler,China,F,92,0.58,Jeniffer Sherman,Portugal,F,40,0.76
30,8:36:47,Nicolais Jillett,Indonesia,M,38,0.57,Merwyn Salzburg,China,M,65,0.65
31,3:49:13,Rick Craddy,Indonesia,M,35,0.36,Reg Raithby,Albania,M,83,0.64
32,4:31:53,Cleo MacRitchie,China,F,89,0.85,Beckie Heatly,Nepal,F,24,0.74
33,4:34:18,Dimitry Newsome,Nigeria,F,38,0.39,Roma Crunkhurn,Nigeria,M,68,0.35
34,4:09:53,Gerhard Morrallee,Indonesia,F,17,0.51,Jock Swancott,Poland,M,48,0.74
35,12:12:05,Kennie Bringloe,China,F,29,0.35,Carleton Nelson,Indonesia,M,64,0.8
36,19:44:56,Kaitlin Onians,Peru,M,39,0.62,Sher Antalffy,Brazil,F,76,0.74
37,18:23:34,Solly Hourstan,Ukraine,M,48,0.62,Chane Slavin,Poland,M,29,0.63
38,11:14:05,Verne Escoffrey,United States,M,46,0.36,Odie Budgen,Poland,M,69,0.44
39,23:15:50,Arvin Duckham,China,M,85,0.95,Cirillo Fosdike,China,M,59,0.38
40,22:05:54,Maury Boyne,Russia,M,64,0.89,Alphonso Savile,China,M,62,0.89
41,13:41:09,Denyse Budd,China,M,1,0.02,Tobi Colclough,Philippines,F,3,0.02
42,20:30:56,Conant Wernher,Poland,M,9,0.06,Toddie Tubritt,Philippines,M,37,0.68
43,21:15:11,Alaric Lochrie,Ecuador,M,71,0.4,Morry Seiller,China,M,31,0.61
44,3:14:13,Dee Burgher,Colombia,M,38,0.59,Quintina Trank,China,F,76,0.71
45,22:02:19,Lurette Brandsen,Brazil,M,25,0.53,Anica Holywell,Bulgaria,F,20,0.77
46,3:18:50,Cris Domek,Poland,M,54,0.35,Oralle Bolger,Indonesia,F,93,0.71
47,7:53:08,Krystyna Van Giffen,France,F,14,0.53,Josi Stoppe,China,F,84,0.89
48,4:29:25,Justin Barnby,China,M,51,0.36,Dylan Strutley,Philippines,M,67,0.86
49,12:17:37,Audi Dymick,Syria,F,31,0.65,Ree McTaggart,Yemen,F,47,0.59
50,1:36:31,Gradeigh Mocquer,Afghanistan,M,18,0.37,Baxter Bing,United States,M,87,0.67
51,11:35:12,Glad Starsmeare,Sweden,F,32,0.3,Sheilah Castellone,Russia,F,93,0.59
52,11:37:22,Jolene Briamo,China,F,26,0.94,Margot Jacobowits,Albania,F,85,0.7
53,15:02:29,Jesus Fendley,France,M,4,0.27,Alfonso Brine,Indonesia,M,8,0.19
54,9:58:20,Lenette Robertson,Czech Republic,M,89,0.46,Ginger Bhar,China,F,29,0.73
55,6:19:29,Eugen Neilan,Philippines,M,2,0.29,Matthaeus Perot,China,M,53,0.95
56,2:22:26,Juana Craighead,Somalia,M,68,0.53,Pattie Yeld,Brazil,F,66,0.82
57,11:25:53,Therine Fairlem,Iran,F,86,0.7,Doralynne Wisher,Argentina,F,80,0.86
58,21:06:51,Gordie Norval,Philippines,F,90,0.78,Ario Gawke,France,M,89,0.57
59,6:50:59,Dorthea Nanuccioi,France,F,68,0.69,Mallorie Surmeyers,Indonesia,F,45,0.8
60,5:35:55,Fanchette Minihan,China,F,90,0.95,Kim Elijah,Philippines,F,93,0.63
61,19:45:08,Marika Bartlet,Indonesia,M,65,0.49,Calla Fyall,Mongolia,F,46,0.77
62,0:23:56,Saba Delnevo,China,M,74,0.74,Alyson McLenaghan,Russia,F,10,0.29
