Row_Number,Time_Stamp,SockOwner1_Name,SockOwner1_Country,SockOwner1_Gender,SockOwner1_Age,SockOwner1_Smelliness,SockOwner2_Name,SockOwner2_Country,SockOwner2_Gender,SockOwner2_Age,SockOwner2_Smelliness
1,12:59:14,Riccardo Mussotti,Laos,F,7,0.85,Irvin Murtimer,Israel,M,17,0.86
2,13:04:59,Jud Acock,China,M,8,0.26,Abey Rosita,Portugal,M,14,0.1
3,1:18:37,Udale Christene,Bulgaria,M,9,0.91,Tann Olney,Russia,M,9,0.34
4,9:33:33,Dionysus Gooderidge,Ethiopia,M,60,0.62,Vassily Symper,Indonesia,M,64,0.14
5,18:25:37,Kalvin De Antoni,Honduras,M,78,0.81,Tito Twyford,Brazil,M,16,0.61
6,8:25:18,Marla Saddington,China,M,87,0.24,Geneva Dener,Comoros,F,49,0.47
7,5:36:22,Dede Taill,Democratic Republic of the Congo,M,62,0.71,Aubree Alessandone,Indonesia,F,39,0.4
8,21:50:20,Gizela Iorio,Philippines,F,49,0.48,Bessie Bulleyn,Yemen,F,60,0.88
9,11:51:08,Brig Drewery,Indonesia,M,90,0.74,Cullie Jentet,Portugal,M,73,0.62
10,14:16:38,Yale Van Giffen,Indonesia,F,48,0.33,Howey Milmoe,China,M,10,0.5
11,7:35:41,Saxe Fiske,China,M,15,0.7,Dallas Gulleford,United States,M,45,0.68
12,12:32:32,Scot Dobby,Sweden,M,90,0.65,Reagen Lavin,Indonesia,M,23,0.66
13,17:37:03,Ram Hallums,Indonesia,F,14,0.84,Bobbie Boomes,China,M,55,0.28
14,20:26:26,Merla Spacie,Poland,F,52,0.73,Emelia Harpur,Vietnam,F,58,0.95
15,0:44:50,Ross Sisson,China,F,83,0.68,Tull Cawood,China,M,18,0.94
16,14:20:33,Cece Gentry,China,M,63,0.57,Stanislaus Sealeaf,Tanzania,M,28,0.53
17,16:32:10,Bary Ayllett,South Korea,M,80,0.15,Casper Faulconbridge,China,M,25,0.12
18,0:43:26,Tobe Dungey,Philippines,F,14,0.62,Andy Malek,Israel,F,52,0.1
19,17:55:56,Archambault Overlow,Philippines,M,30,0.65,Alphonse Clearie,China,M,32,0.86
20,12:06:18,Godfrey Itschakov,Netherlands,F,80,0.84,Cirstoforo Barttrum,Portugal,M,95,0.96
21,13:14:01,Morissa Kilfeder,United States,M,75,0.19,Gennie Bridie,Thailand,F,78,1.0
22,20:15:30,Mala Goede,China,M,87,0.43,Maggee Wellen,China,F,60,0.58
23,1:28:54,Rosabelle Brosi,Colombia,M,38,0.79,Constantina Gatsby,Portugal,F,77,0.38
24,22:00:09,Thain Bengough,Indonesia,F,63,0.32,Karl Dennis,Iran,M,79,0.6
25,0:20:17,Seth Warboy,Dominican Republic,F,73,0.31,Elden Bowne,Czech Republic,M,6,0.3
26,18:19:31,Eugenia Dawidowitz,United States,M,13,0.9,Calla Willets,Canada,F,90,0.65
27,4:18:45,Evanne Tiffin,Canada,M,52,0.68,Margot Leifer,France,F,83,0.12
28,10:02:39,Bidget Sargent,China,F,1,0.71,Madelene Sweetnam,Indonesia,F,81,0.46
29,0:22:30,Franciska Wohler,China,F,92,0.65,Jeniffer Sherman,Portugal,F,40,0.64
30,8:36:47,Nicolais Jillett,Indonesia,M,38,0.72,Merwyn Salzburg,China,M,65,0.83
31,3:49:13,Rick Craddy,Indonesia,M,35,0.08,Reg Raithby,Albania,M,83,0.07
